Geneid, SR10,SR09,SR18,SR13,SR16,SR07,SR17,SR14,SR15,SR12
100287102,0,0,0,0,0,0,0,0,0,0
653635,27,42,56,35,27,19,65,14,17,16
102466751,4,1,3,7,5,1,2,3,2,3
100302278,0,0,0,0,0,0,0,0,0,0
645520,0,0,0,0,1,0,0,0,0,0
79501,0,0,0,0,0,0,0,0,0,0
729737,2,60,18,106,6,8,25,27,7,7
102725121,1,1,0,2,0,2,0,1,3,0
102723897,40,23,63,45,21,17,82,18,21,19
102465909,0,0,0,0,0,0,0,0,0,0
729759,0,0,0,0,0,0,0,0,0,0
100132287,3,0,2,1,1,2,0,0,1,1
105378947,2,2,1,0,0,0,0,2,1,1
101928626,8,0,3,1,2,3,1,3,4,6
102465432,20,4,23,584,4,24,10,13,146,22
81399,0,0,1,0,0,0,0,0,0,0
100133331,21,5,16,12,13,19,32,20,5,10
100288069,4,2,3,1,2,4,14,6,0,2
400728,7,2,4,12,7,3,8,15,6,7
79854,6,7,9,13,9,6,26,2,3,4
643837,249,220,242,289,790,78,206,157,180,141
284593,0,0,0,0,0,0,2,0,0,0
100130417,146,1,36,36,13,10,161,141,45,204
148398,1729,35,905,745,98,146,848,1496,650,623
26155,1142,770,1397,1171,649,449,1513,1009,656,463
339451,226,61,137,139,55,62,498,108,60,73
84069,12,32,10,7,1,11,46,5,4,1
84808,5,12,10,2,1,11,84,4,2,1
57801,44,11,14,15,9,20,112,13,20,4
9636,1815,2036,2311,1437,94,314,729,2799,449,149
375790,2320,3452,10518,5162,1323,2682,5278,4821,2006,1000
105369174,0,1,1,0,0,1,3,0,0,0
105378948,1,0,2,3,0,5,4,0,0,1
401934,0,0,0,0,0,0,1,0,0,0
54991,263,170,347,234,142,110,244,155,126,116
254099,0,0,0,0,0,0,1,0,0,0
406984,0,0,0,0,0,0,0,0,0,0
406983,0,0,0,0,0,0,0,0,0,0
554210,0,0,1,0,0,0,0,0,0,0
254173,3,1,0,1,0,2,0,3,3,0
8784,38,16,80,25,2,5,4,25,82,13
7293,126,67,116,40,9,160,112,32,62,26
51150,4014,2650,5491,3118,2299,1377,3355,4116,2883,1527
126792,636,282,548,470,261,257,965,553,439,233
388581,1,2,2,8,2,40,16,3,7,1
118424,826,583,972,748,528,410,986,879,637,350
6339,173,10,54,71,27,126,115,33,35,34
116983,1514,510,1314,1274,358,586,649,901,693,379
102465434,0,0,0,0,0,0,0,0,0,0
126789,179,90,175,134,59,62,158,175,133,62
54973,1172,483,1333,1322,615,562,1229,848,589,467
102465435,1,0,0,0,1,0,0,0,1,0
80772,361,267,463,364,228,149,430,428,259,136
83756,15,2,4,5,0,6,9,8,4,1
1855,1027,452,1030,909,501,509,854,1007,694,308
102466740,0,0,0,0,0,0,0,0,0,0
54587,9782,817,477,2784,213,349,139,6979,5785,374
54998,1175,877,1208,1100,671,632,1342,1042,836,693
81669,1550,681,3110,3333,853,1210,3544,1522,819,685
148413,309,275,294,266,232,145,307,266,222,104
55052,1288,845,1408,1314,540,473,1353,1167,761,401
441869,66,38,0,26,1,54,45,24,31,7
643965,0,0,0,0,0,0,1,0,0,0
102724312,4,10,37,6,1,4,74,3,6,2
64856,461,1426,4131,507,158,218,1013,776,468,92
219293,100,101,17,72,0,17,28,15,2,4
83858,256,97,239,344,119,155,347,189,101,105
55210,439,238,366,358,249,264,541,387,293,168
339453,109,26,88,69,10,27,63,196,90,20
29101,1571,544,2118,1791,974,525,1530,1512,1050,250
643988,62,37,78,67,281,119,245,54,54,35
142678,947,386,1759,883,529,473,1225,1065,569,391
8510,17,0,118,5,0,5,1,136,5,0
984,626,415,737,570,312,306,723,535,357,243
728661,1776,760,1983,1860,686,409,959,1615,1119,301
8511,0,0,4,1,0,0,0,1,0,1
728642,278,175,382,341,187,155,435,213,130,110
9906,160,161,367,291,90,432,1247,147,140,302
65220,778,509,928,855,464,526,931,884,502,399
2782,7221,5002,11021,7502,4843,3977,6918,7777,5598,2959
105378949,5,2,2,4,2,2,22,3,3,2
163688,4,0,0,4,0,7,4,5,1,1
339456,0,6,5,5,0,15,18,0,0,1
85452,1,0,0,0,1,6,2,0,11,1
2563,6,3,1,1,8,6,7,3,4,0
5590,60,164,88,443,121,159,96,10,335,141
100506504,18,3,10,31,3,12,43,9,17,11
199990,1129,424,1199,796,367,407,618,1040,1189,300
105378592,23,4,17,11,7,12,19,19,6,14
6497,3301,799,5242,2590,897,749,2576,3816,2136,893
105378594,1,0,1,1,0,0,0,2,0,1
79906,118,48,65,83,29,42,169,72,46,75
100129534,74,18,18,54,15,48,103,24,31,33
11079,2177,1640,2909,1832,1447,1333,2063,2213,1540,1060
5192,338,271,332,235,179,127,302,312,226,123
9651,3,2,4,3,0,0,1,1,1,2
55229,6,32,16,13,5,25,31,6,22,0
388585,0,0,0,0,0,0,0,0,0,0
115110,0,0,0,1,0,1,0,0,0,0
8764,3,7,5,15,1,73,7,6,25,2
100996583,0,0,0,0,0,0,0,0,0,0
127281,26,0,1,13,1,0,4,5,0,0
79258,1,0,1,2,0,0,0,1,0,0
100287898,1,0,0,4,0,0,2,0,0,0
140625,0,0,0,0,0,0,0,0,0,0
440556,20,2,3,38,1,2,0,6,8,0
63976,127,5,13,244,18,12,5,42,28,7
100422968,0,0,0,0,0,0,0,0,0,0
27237,0,1,2,3,0,104,15,1,1,3
1953,103,11,51,40,20,49,79,36,37,21
693135,0,0,0,0,0,0,0,0,0,0
127262,1733,1336,3134,1989,1263,779,934,2078,1512,985
49856,308,208,378,286,197,189,364,262,174,123
7161,14,45,25,47,3,91,9,14,4,11
57212,832,352,644,557,87,358,1111,528,365,263
148870,7,0,0,3,0,19,24,0,0,0
388588,59,39,59,86,18,67,28,46,16,15
57470,1675,638,1622,1392,711,617,1413,1280,774,541
9731,838,502,996,651,514,501,572,1014,542,401
1677,120,45,171,121,61,43,214,109,53,50
339448,299,263,371,331,172,203,349,268,184,146
100133612,0,5,4,5,0,8,4,5,1,0
728716,0,0,0,0,0,0,0,0,0,0
284661,0,0,0,0,0,0,0,0,1,0
55966,223,2,1892,710,3,2,0,784,1136,19
100616489,0,0,0,0,0,0,0,0,0,0
100616421,0,0,0,0,0,0,0,0,0,0
261734,314,253,291,278,225,215,294,259,184,110
8514,501,334,707,446,285,433,490,518,314,199
26038,2,0,2,7,1,0,9,9,3,0
6146,3845,2247,3491,3644,1340,1821,8798,3240,2166,1555
102724450,1,1,3,2,1,1,3,2,2,2
388591,182,50,190,160,56,102,198,54,48,46
23463,2758,1512,3822,2130,1104,1297,1403,3441,1927,1395
148645,1,0,1,1,0,5,2,1,0,0
390992,0,0,0,0,0,0,0,0,0,0
387509,2326,371,5007,1565,124,476,941,2052,739,248
11332,585,1464,1236,1427,1611,1845,574,2675,1826,733
54626,0,1,0,0,1,0,2,0,0,0
83715,3,5,2,1,2,4,5,2,2,0
100422975,0,0,0,0,0,0,0,0,0,0
8718,161,34,112,186,22,86,156,97,82,52
57449,773,221,841,914,110,316,527,694,456,226
79707,320,199,346,304,135,179,380,268,184,121
80835,0,3,0,0,0,1,6,2,0,0
3104,409,189,309,351,232,172,432,238,178,146
9903,1081,793,1791,1189,470,729,866,926,654,573
148479,638,432,785,464,357,492,730,460,365,263
90326,359,228,387,284,106,137,336,310,180,126
55735,636,317,522,470,353,258,555,508,339,233
100505887,0,0,0,0,0,0,0,0,0,0
23261,610,666,623,578,481,830,657,549,413,534
9341,2836,2446,3586,3147,2084,1737,1588,3110,2014,1446
8863,1332,100,905,760,193,1478,308,578,270,321
10911,3,0,2,3,0,0,1,2,2,2
3604,26,16,25,9,1,2,16,12,21,8
11315,4405,2703,4452,3616,1838,1818,3321,4073,2998,1864
54206,2079,205,262,291,323,284,1507,721,791,252
102724539,0,0,0,0,0,0,0,0,0,0
50651,280,74,195,92,58,59,110,195,242,90
473,4746,3290,7778,7355,1566,2163,5578,4543,2471,2611
102724552,1,6,2,7,0,1,0,1,3,3
2023,4309,4481,6731,5954,12508,12763,42321,4850,3625,4313
102465436,0,0,0,0,0,0,1,0,0,0
100505975,0,0,0,1,0,0,6,2,1,0
765,0,1,1,1,0,0,0,0,0,0
155184,0,0,0,0,0,0,1,0,0,0
6518,15,6,31,16,22,70,227,69,62,68
80045,17,11,63,15,14,23,50,21,8,11
407040,0,1,1,0,0,0,1,0,0,0
9563,2234,877,1523,1311,1321,1815,1895,1785,1201,423
80176,250,133,1233,196,155,99,330,209,130,57
100506022,51,6,60,39,38,22,42,78,80,28
84275,91,59,114,76,54,42,192,123,59,25
199953,514,279,889,501,318,448,477,608,394,255
5293,459,317,407,366,64,101,349,349,364,165
644997,2,1,2,2,0,0,2,0,0,0
101929074,89,6,2,9,0,1,85,3,3,0
22883,4085,2772,5225,4306,2285,2188,3247,4280,2675,1658
56998,627,432,510,399,252,491,812,503,297,227
84328,873,482,664,535,381,372,606,676,393,309
64802,360,114,228,247,158,167,199,305,256,122
100847055,0,0,0,0,0,0,0,0,0,0
105376719,0,0,0,0,0,0,0,0,0,0
116362,90,261,34,49,8,81,165,90,98,31
10277,1645,699,1710,1804,818,574,1316,1376,878,532
23095,1761,564,1984,1403,691,1191,1642,1689,851,561
100422970,0,0,0,0,0,0,0,0,0,0
5226,1659,1940,1565,1002,1367,1232,3267,1085,1015,780
100526739,0,0,0,0,0,0,0,0,0,0
378708,13,19,25,16,18,22,29,22,18,14
1325,1,0,1,0,0,0,2,1,0,0
1676,681,431,576,459,321,315,475,565,329,240
5195,470,236,600,476,283,175,458,397,287,150
54897,28,82,186,94,27,79,47,44,35,14
148345,4,10,3,5,3,3,2,2,6,3
23435,2219,2244,2726,2501,1983,2174,2310,2182,1203,1479
10747,23,6,44,55,13,5,55,33,14,4
6723,1144,775,1416,1022,484,407,1040,1164,791,703
5394,1261,594,1397,1260,617,640,1464,952,631,503
2475,2304,866,1836,1624,784,814,1679,1781,977,628
100873935,0,0,0,0,0,0,0,0,0,0
10218,22,1,3,0,0,0,0,10,0,0
29914,468,347,473,421,273,287,412,419,279,188
57540,49,128,4,6,0,3,3,2,1,14
101929181,0,0,0,0,0,0,0,0,0,1
26232,81,292,541,202,32,78,19,481,98,111
93611,436,381,843,437,125,218,287,661,279,154
26270,550,393,504,506,87,98,223,434,217,51
10459,290,298,352,268,170,293,558,241,192,92
374946,3,1,8,1,0,4,1,1,0,0
57085,500,609,586,390,212,379,492,414,321,215
284498,0,0,0,0,0,0,0,0,0,0
102724659,0,0,0,0,0,0,0,0,0,0
4524,888,401,652,734,275,470,635,491,335,174
1185,397,275,569,493,167,199,525,283,208,252
100379251,3,1,3,7,0,0,6,3,2,1
4878,1,1,1,5,1,1,4,1,2,1
4879,0,0,0,0,0,0,24,0,0,0
26829,1,0,0,2,0,1,1,0,0,0
90231,1355,614,1542,889,496,744,1511,1302,729,479
5351,4713,2097,2629,2046,3376,4112,12809,4308,1850,856
9927,3418,1485,3046,2448,1453,1329,2145,2627,1894,1391
60672,213,143,226,152,101,92,382,181,127,83
102466982,0,0,0,0,0,0,0,0,0,0
943,9,12,7,4,1,3,7,7,6,5
102465836,0,0,0,0,0,0,0,0,0,0
7133,572,732,948,644,92,148,1127,456,510,213
100616438,0,0,0,0,0,0,0,0,0,0
55187,1876,798,2076,1412,865,965,1332,1803,959,757
677885,0,0,0,0,2,0,2,1,1,0
9249,491,733,1287,876,486,178,780,155,125,563
102466722,0,1,0,0,0,0,1,0,1,1
343066,0,0,0,0,0,0,15,0,0,0
126767,0,0,0,0,0,0,0,0,0,0
93190,1,0,0,0,1,0,3,0,1,1
390999,0,1,0,0,0,0,0,0,0,0
65121,0,0,0,0,0,0,0,0,0,0
440560,0,0,0,0,0,0,0,0,0,0
343069,3,5,17,9,5,9,7,7,3,7
65122,0,0,0,0,0,0,0,0,0,0
400735,0,0,0,0,0,0,0,0,0,0
343071,0,0,0,0,0,0,0,0,0,0
441871,0,0,0,0,0,0,0,0,0,0
440561,0,0,0,0,0,0,0,0,0,0
653606,0,0,0,0,0,0,0,0,0,0
102724742,0,0,0,0,0,0,0,0,0,0
101929983,0,0,0,0,0,0,0,0,0,0
649330,0,0,0,0,0,0,0,0,0,0
441873,0,0,0,0,0,0,0,0,0,0
649324,0,0,0,0,0,0,0,0,0,0
440563,0,0,0,0,0,0,0,0,0,0
645354,0,0,0,0,0,0,0,0,0,0
645359,0,0,0,0,0,0,0,0,0,0
101060301,0,0,0,0,0,0,0,0,0,0
343070,0,0,0,0,0,0,0,0,0,0
400736,0,0,0,0,0,0,0,0,0,0
391003,0,0,0,0,0,0,0,0,0,0
343068,0,0,0,0,0,0,0,0,0,0
391002,0,0,0,0,0,0,0,0,0,0
645382,0,0,0,0,0,0,0,0,0,0
653619,0,0,0,0,0,0,0,0,0,0
729528,0,0,0,0,0,0,0,0,0,0
645414,0,0,0,0,0,0,0,0,0,0
391004,0,0,0,0,0,0,0,0,0,0
645425,0,0,0,0,0,0,0,0,0,0
126755,0,0,0,0,0,0,0,1,0,0
10630,1555,0,1683,410,121,53,91,1452,525,71
7799,1445,382,2119,1563,805,662,1212,1350,821,541
23254,441,7,10,10,16,4,492,36,9,22
200197,25,4,5,3,0,5,23,0,7,4
55092,535,309,701,320,78,201,357,212,323,87
727684,0,0,0,0,0,1,0,0,0,0
114827,39,15,22,9,12,26,14,21,25,47
101927417,0,0,1,1,0,1,2,2,1,0
79180,774,1693,1611,1047,825,766,1257,1065,913,2026
11330,0,0,2,0,0,0,1,0,1,0
63036,0,0,0,0,0,0,0,0,0,0
51032,2,1,3,1,2,3,0,3,1,1
842,366,182,349,309,190,161,251,304,250,172
23341,412,329,562,404,391,329,290,507,282,235
79814,10,5,5,10,1,10,11,5,8,1
84301,98,74,61,63,41,60,79,69,38,34
6248,72,43,45,42,30,44,64,56,26,27
23207,1696,860,2239,1550,759,733,1594,1582,1080,483
284723,63,3,19,39,7,19,74,23,16,36
388595,1,0,0,0,0,0,0,0,0,0
54751,2133,1091,1971,2326,305,514,2245,916,767,548
440567,86,83,149,145,102,140,269,160,152,111
729614,94,25,46,72,33,54,143,83,73,60
23013,1849,1607,2212,1810,830,1438,2085,1751,991,868
7709,376,229,551,474,244,264,648,319,269,163
101928566,0,0,0,0,0,0,0,0,0,0
149563,1,0,1,0,0,0,1,0,0,1
27129,1102,63,634,788,15,425,33,3443,2608,556
1187,36,1,14,8,0,41,8,26,12,14
1188,3,0,0,0,0,11,4,5,3,7
348487,0,0,0,2,0,0,1,0,0,0
1969,71,52,36,15,24,13,54,277,198,33
128272,36,22,109,24,32,48,153,41,90,46
101927546,4,6,1,1,4,1,4,1,0,2
79363,147,107,120,114,69,104,58,160,109,61
54455,719,376,835,644,404,407,861,748,424,253
26099,3870,4585,4729,5555,2443,2031,2809,4011,3028,1907
374955,1,1,1,0,0,0,1,0,0,0
55707,1174,1502,1926,1448,1313,884,1503,1122,958,796
114819,149,36,128,136,33,95,211,89,48,57
26871,0,0,0,0,0,0,0,0,0,0
100126512,0,0,1,1,0,2,0,0,0,0
100126517,1,0,0,0,0,0,0,0,0,0
102724970,3,0,0,0,0,2,1,1,0,0
100133301,0,0,0,0,0,1,0,0,0,0
7195,0,0,0,0,0,0,0,0,0,0
55672,262,2568,296,398,239,133,186,255,205,289
84809,222,185,468,325,87,126,438,160,116,247
11209,8,1,3,10,4,15,56,4,6,9
26869,0,0,0,0,0,0,0,0,0,0
729574,0,0,0,0,0,0,0,0,0,0
100126533,0,0,0,0,0,0,0,0,0,0
284729,0,1,0,0,0,0,0,0,0,0
100189045,0,0,0,0,0,0,0,0,0,0
102723383,0,0,0,0,0,0,0,0,0,0
6060,0,0,0,0,0,0,0,0,0,0
11223,2,1,2,1,0,2,31,0,0,5
100500876,0,0,0,0,0,0,0,0,0,0
100189298,0,0,0,0,0,0,0,0,0,0
7193,0,0,0,0,0,1,1,0,0,0
791226,0,0,0,0,0,0,0,0,0,0
9696,821,147,858,553,132,213,872,702,337,305
26870,0,0,0,0,0,0,0,0,0,0
4237,1959,61,1322,876,65,117,951,1306,704,78
23400,628,596,1466,684,681,315,709,791,456,377
6390,1037,844,1435,1173,666,665,1025,1117,853,696
11240,30,14,24,2,4,5,12,8,14,1
29943,0,0,0,0,0,0,0,0,0,0
51702,0,0,0,0,0,0,0,0,0,0
100616188,0,0,0,0,0,0,0,0,0,0
23569,1,4,1,1,2,2,10,2,0,0
353238,0,0,0,0,0,0,0,0,0,0
55920,1380,811,843,678,446,777,1800,667,754,313
55160,420,136,259,235,78,142,428,313,301,147
81569,0,0,0,2,0,88,1,0,0,15
101927876,0,0,0,0,0,0,0,0,0,0
84966,33,87,208,160,4,38,33,147,62,15
127707,3,0,1,0,1,0,0,0,0,1
5081,0,0,1,0,0,0,1,0,0,0
80834,0,0,0,0,0,0,0,0,0,0
8659,130,105,131,119,203,215,321,181,172,140
100616120,0,0,0,0,0,0,0,0,0,0
100302276,0,0,0,0,0,0,0,0,0,0
126917,158,78,224,97,132,151,350,247,171,195
23352,4119,1670,4042,5362,1177,2028,4328,4179,2457,1592
23065,1179,838,1303,1035,968,567,1132,1135,616,486
51154,571,476,564,459,540,475,932,575,310,357
246181,3,7,20,3,7,6,24,4,1,10
22977,7,23,22,11,29,20,26,4,3,13
100506730,56,52,147,39,93,112,70,46,32,106
8574,724,5015,5100,880,2778,1741,731,973,652,2532
54896,270,471,351,235,367,233,330,256,198,166
832,4658,8633,11417,8741,6740,5668,3453,5527,4635,7570
100532736,0,0,0,0,0,0,0,0,0,0
440574,662,1681,1498,1236,928,841,524,1249,1245,873
644068,27,30,24,47,9,19,68,3,10,18
4681,23,530,459,185,424,306,18,100,71,515
3362,2,16,2,4,3,384,1,1,0,24
255104,570,420,528,455,225,324,176,283,135,203
54546,0,0,0,0,0,0,0,0,0,1
23252,308,69,235,170,221,191,424,258,183,190
30814,0,0,0,0,0,0,0,0,0,0
5320,4,167,1,6,130,6,27,0,0,10
5322,6,1,3,4,3,3,13,0,0,1
26279,16,3,53,25,1,1,2,3,19,115
64600,0,0,0,0,0,0,1,0,0,2
391013,0,0,0,0,0,0,0,0,0,0
127733,36,110,1,4,157,40,78,27,48,20
101928017,5,11,0,0,3,3,12,1,2,2
127731,0,3,1,7,2,1,0,0,1,5
339505,0,0,0,0,0,0,0,0,0,0
55450,1661,2235,1678,1227,1226,1962,1253,1427,1280,684
79594,940,400,897,679,572,433,778,785,621,322
163933,2,16,1,0,17,10,51,0,1,7
978,29,10,6,31,6,4,112,21,16,4
65018,687,465,474,400,309,238,469,477,338,273
102464833,0,0,0,0,0,0,0,0,0,0
100861548,59,32,88,72,21,8,76,85,51,26
1650,3816,3390,4966,3508,2320,1746,5141,2932,2237,2033
57576,26,230,47,30,7,31,166,22,32,241
400745,7,8,1,1,1,31,35,1,0,6
50809,3945,2377,5257,4500,2206,2264,3965,3612,2554,1641
8672,3477,1571,3821,2887,2007,1696,2523,3748,1893,1442
100302155,0,0,0,0,0,0,0,0,0,0
1889,1311,557,959,1514,1563,613,605,2509,1189,866
100506801,13,0,5,2,0,2,2,2,2,3
84224,269,129,230,154,85,88,134,234,129,86
249,113,57,56,36,2,48,21,74,132,72
5909,9,20,17,25,6,127,96,12,19,10
84196,1328,714,1425,1062,682,798,1089,1040,599,420
401944,3,3,6,1,2,8,3,3,2,3
3339,2280,493,445,227,272,749,1392,1141,873,237
23436,0,0,0,0,0,0,1,0,0,0
10136,0,0,0,0,0,0,0,0,0,0
101928043,8,1,2,3,1,1,2,2,3,0
29092,222,125,88,196,256,185,346,226,102,114
998,5222,2787,5214,4730,2824,2001,3056,4135,2981,1658
54361,78,1,4,21,2,1,14,3,5,7
100616433,0,0,0,0,0,0,0,0,0,0
9923,1403,794,1675,1545,427,772,1586,1245,749,584
2046,0,71,0,5,0,1,3,8,0,86
102466615,0,0,0,0,0,0,0,0,0,0
712,1937,8112,6483,5604,813,426,4484,3472,3634,1251
714,1390,5412,4952,4026,689,499,4031,2608,2343,951
713,1597,7559,6227,4747,959,437,3494,2957,3216,1172
2048,990,755,125,99,954,752,280,2070,1057,1174
100616391,0,0,0,0,0,0,0,0,0,0
100422914,0,0,0,0,0,0,0,0,0,0
646262,0,1,0,0,0,0,0,0,0,0
729059,0,0,1,0,0,0,1,0,0,0
23028,2524,998,1872,1201,1261,989,2419,1618,963,859
100422866,0,0,0,0,0,0,0,0,0,0
100616177,0,0,0,0,0,0,0,0,0,0
7798,1626,665,1419,1085,715,851,1136,1800,882,760
3352,0,5,0,0,11,3,34,0,0,0
100996511,31,4,35,36,6,18,66,16,4,7
10236,2890,2802,4084,3153,1976,2548,3741,2816,1648,1645
80818,716,861,1032,628,381,1050,1372,691,401,225
148898,53,26,45,47,15,17,113,39,27,23
6920,361,281,1143,1000,72,354,33,535,311,259
55616,696,163,691,892,245,181,1073,632,349,161
1870,60,54,49,85,14,58,232,35,16,20
101928163,0,0,0,0,0,0,0,0,0,0
3399,723,319,2530,821,297,302,8426,3296,566,495
259283,0,1,2,0,0,0,8,0,0,0
6135,10447,7490,9244,9107,4009,4979,31154,8595,6488,5213
6924,1286,836,1536,1256,629,650,1395,1016,565,433
100506963,5,5,1,7,2,5,33,6,6,6
57095,810,358,1290,735,394,374,791,849,560,376
11313,717,653,827,870,559,290,890,634,489,308
2582,175,99,126,94,81,88,378,89,88,47
3155,745,519,747,613,373,320,547,596,463,268
2517,1357,1281,1701,1288,846,388,1900,1060,723,589
1269,12,0,16,12,0,1,0,6,5,1
100616492,0,0,0,0,0,0,0,0,0,0
55629,1935,1189,2776,3263,601,1033,1877,1794,970,564
10772,1500,1287,1326,1411,1106,1343,1548,1253,617,757
127294,5,1,3,0,5,0,6,17,2,1
58985,2,9,0,0,0,0,0,0,0,0
163702,33,73,10,36,10,39,26,3,6,18
284632,0,0,0,0,2,0,0,0,0,0
57822,0,2,4,4,0,1,0,2,0,0
90529,203,130,353,366,191,227,271,379,245,147
57185,784,616,1115,907,786,593,324,907,501,475
100750325,1,0,1,0,1,0,0,0,0,0
11123,97,36,77,98,108,69,48,16,29,47
100506985,11,4,9,14,12,17,7,2,6,9
400746,0,2,1,0,0,0,0,0,0,0
10250,1611,781,1829,1516,893,961,2208,1207,700,526
25932,5380,4480,4560,5630,2356,3699,4183,6553,3955,2787
864,638,123,396,408,18,63,90,109,222,106
102465437,0,0,0,0,0,0,0,0,0,0
100616365,0,0,0,0,0,0,0,0,0,0
25949,1179,921,1561,1154,539,689,1735,1125,715,529
57035,390,802,773,941,250,858,705,425,176,325
6007,6,1,6,5,0,3,0,2,1,3
23585,862,394,771,565,338,402,519,624,521,213
6006,4,4,0,3,1,5,42,1,3,0
55219,700,439,1114,633,583,533,635,767,475,259
26119,970,203,897,661,122,197,236,834,565,204
57134,1379,73,576,422,62,77,256,1196,849,200
57190,3404,1165,4205,2034,1142,2360,2944,2746,2267,1566
56181,1468,644,1782,1695,663,445,936,1660,1016,683
646471,209,33,104,160,43,92,86,119,73,66
79000,20,7,15,23,8,10,81,16,7,3
164091,640,345,540,409,302,278,483,637,342,213
3925,2980,2408,2076,1723,2481,2588,5443,2006,706,662
100500808,0,0,0,0,0,0,0,0,0,0
5051,901,375,554,482,456,208,374,865,520,280
2134,271,4,0,1,14,2,11,338,59,16
7780,2,1,0,0,1,2,5,0,0,0
105376910,0,0,0,0,0,0,0,0,0,0
84676,8,0,5,2,0,0,0,3,0,0
149420,333,221,344,232,158,207,218,212,143,123
79927,21,7,20,15,1,3,3,53,34,4
105376887,0,0,0,0,0,0,0,0,0,0
51042,229,239,218,183,159,84,255,212,130,123
10256,1,0,2,3,0,4,8,3,1,2
378807,0,0,0,0,0,0,1,0,0,0
101928303,0,4,1,0,0,0,5,0,1,2
64793,252,164,179,189,263,350,542,171,128,93
83442,1603,2437,3113,1884,1234,1135,2233,2033,1741,1005
91544,180,138,367,371,145,170,287,190,194,148
1043,350,189,300,182,34,56,145,110,149,100
55057,8,5,7,0,1,1,5,1,4,4
257101,93,12,132,5,4,6,1,16,21,2
79727,0,0,0,0,0,0,0,0,0,1
79947,639,426,963,740,408,206,670,784,529,330
101928324,2,1,1,3,1,2,6,2,0,0
3151,1877,2920,2484,2857,793,1869,3820,1185,805,852
6195,279,603,2546,968,585,795,678,192,253,1094
100302190,0,0,0,0,0,0,0,0,0,0
101928728,87,15,12,35,7,16,31,25,17,13
8289,2884,1600,2598,2112,1713,1749,3278,2088,1490,1141
55650,386,389,330,304,201,216,334,269,231,125
84243,1356,634,1828,1389,361,664,1061,748,532,256
2810,1,0,2,2,0,2,3,0,0,1
54707,345,205,401,359,216,155,308,311,226,131
63906,250,123,282,342,121,116,227,154,136,73
10726,1643,1329,1935,1675,947,1187,1801,1466,1116,960
8431,0,0,0,0,0,0,1,0,1,0
126695,1,3,1,2,5,1,1,0,0,0
388610,146,12,15,27,43,30,126,94,39,7
115572,2,12,4,2,8,8,24,1,3,4
6548,1810,657,1424,927,453,577,804,1392,1576,338
23038,1505,1247,2149,2242,1101,1026,1146,1783,1493,781
84065,1040,498,1391,968,471,345,897,867,688,560
644961,17,14,22,25,12,10,29,16,3,3
100887744,0,0,0,0,0,0,0,0,0,0
84958,84,42,68,57,10,50,11,34,48,35
9064,867,295,1425,1239,316,735,236,933,438,300
8547,17,55,6,15,0,9,4,21,5,2
388611,0,0,0,0,0,0,0,0,0,0
2827,91,7,18,18,12,27,52,46,53,17
10163,3267,1713,4551,3586,1323,2253,2983,2361,1739,1167
27245,1790,293,1755,1080,348,747,1150,1393,706,377
2268,212,69,191,129,24,58,202,120,158,70
2537,6958,6804,17551,13434,762,664,2162,18503,2889,693
199870,187,101,268,206,84,142,233,194,145,117
23673,1192,833,1433,1032,733,936,828,1278,886,560
5511,1004,648,1300,1016,603,646,1013,983,641,421
677774,1,0,0,0,0,1,1,0,0,0
9473,436,250,633,576,68,79,507,216,312,82
6118,2007,652,1177,1001,655,769,1284,856,667,522
27293,1,2,4,4,0,20,2,2,1,0
55113,213,186,464,394,115,109,552,197,122,101
2140,480,294,465,417,421,257,542,388,218,174
5724,184,154,284,124,78,74,482,255,177,95
22826,2289,1334,2737,2390,1134,1171,2220,2171,1397,1132
93974,1401,922,1634,1596,849,868,1515,1785,899,712
83667,1494,454,794,960,705,348,791,1056,686,226
54797,217,160,254,226,190,172,289,226,120,126
65979,1079,406,1022,874,520,406,859,660,381,341
1104,302,106,134,227,96,134,1020,153,93,109
8420,100,49,135,209,59,85,405,121,70,62
6080,12,3,13,7,2,1,7,9,5,4
26768,17,10,20,11,3,3,10,4,9,4
54952,310,93,334,283,124,136,336,280,220,75
85028,81,67,145,136,33,62,364,70,31,42
692212,1,2,3,1,0,1,3,4,2,1
677838,10,5,24,13,4,1,21,16,8,3
677825,2,0,6,11,0,1,7,5,1,0
692073,1,3,3,5,1,1,1,1,0,3
115273,5,9,4,3,12,9,71,6,3,6
6883,573,190,378,234,196,275,416,396,211,127
26824,3,1,2,2,0,0,1,1,2,0
10691,162,117,272,211,120,134,121,131,102,82
105376911,2,0,0,0,0,0,0,0,0,0
51441,857,522,875,777,935,587,1067,819,505,420
4985,0,0,0,0,0,0,0,0,0,0
2035,337,327,592,419,170,481,1106,285,125,273
399474,251,12,110,3,20,224,117,110,9,203
6429,1828,960,2136,1498,1070,912,1843,1288,835,633
51102,338,108,279,238,239,182,264,238,150,154
10076,50,77,72,52,37,103,156,14,12,76
101928460,0,0,0,0,0,0,1,0,0,0
101929406,0,1,0,0,0,0,0,0,0,0
4146,22,0,12,50,3,4,26,23,18,0
100129196,43,17,23,45,8,20,87,20,24,13
7805,1761,1504,2692,1507,638,641,2949,1337,1258,591
100616164,1,0,0,0,0,0,0,0,1,0
400748,0,0,0,0,0,0,0,0,0,0
9672,2747,2250,11735,5156,1105,3055,2867,6861,4508,2573
